date,tickets_issued,tickets_cancelled,tickets_open,tickets_paid,total
2020-11-18,123,0,0,0,123
2020-11-20,71,0,0,0,71
2020-11-21,112,0,0,0,112
2020-11-22,73,0,0,0,73
2020-11-23,83,0,0,0,83
2020-11-24,106,0,0,0,106
2020-11-25,127,0,0,0,127
2020-11-26,115,0,0,0,115
2020-11-27,106,0,0,0,106
2020-11-28,94,0,0,0,94
2020-11-29,80,0,0,0,80
2020-11-30,94,0,0,0,94
2020-12-01,67,0,0,0,67
2020-12-02,104,0,0,0,104
2020-12-03,2,0,0,0,2
2021-02-03,0,0,8,8,16
2021-02-04,0,0,14,12,26
2021-02-05,0,0,13,21,34
2021-02-06,0,0,12,21,33
2021-02-07,0,0,7,7,14
2021-02-08,0,0,3,4,7
2021-02-09,0,0,7,4,11
2021-02-10,0,0,7,5,12
2021-02-11,0,0,19,11,30
2021-02-12,0,1,44,14,59
2021-02-13,0,0,23,15,38
2021-02-14,0,0,17,12,29
2021-02-15,0,1,43,23,67
2021-02-16,0,0,56,31,87
2021-02-17,0,1,48,52,101
2021-02-18,0,0,41,12,53
2021-02-19,0,0,38,8,46
2021-02-20,0,0,38,14,52
2021-02-21,0,0,28,5,33
2021-02-22,0,2,37,7,46
2021-02-23,0,0,38,11,49
2021-02-24,0,0,43,2,45
2021-02-25,0,0,65,0,65
2021-02-26,0,0,61,0,61
2021-02-27,0,0,49,0,49
2021-02-28,0,0,41,0,41
