start_date,end_date,issued,paid
03/02/2021, 09/02/2021,140,96
10/02/2021, 16/02/2021,320,207
17/02/2021, 23/02/2021,378,265
24/02/2021, 02/03/2021,332,206
03/03/2021, 09/03/2021,282,182
10/03/2021, 16/03/2021,271,164
17/03/2021, 23/03/2021,261,152
24/03/2021, 30/03/2021,306,177
31/03/2021, 06/04/2021,313,181
07/04/2021, 13/04/2021,374,233
14/04/2021, 20/04/2021,365,204
21/04/2021, 27/04/2021,322,176
28/04/2021, 04/05/2021,285,156
05/05/2021, 11/05/2021,136,52
12/05/2021, 18/05/2021,199,92
19/05/2021, 25/05/2021,219,115
26/05/2021, 01/06/2021,303,175
02/06/2021, 08/06/2021,240,107
09/06/2021, 15/06/2021,227,111
16/06/2021, 22/06/2021,228,113
23/06/2021, 29/06/2021,244,122
30/06/2021, 06/07/2021,284,130
07/07/2021, 13/07/2021,195,83
14/07/2021, 20/07/2021,128,52
21/07/2021, 27/07/2021,583,299
28/07/2021, 02/08/2021,381,173
